Project Name,URL,Technical Execution (40%),Potential Impact (20%),Innovation / Wow Factor (30%),Presentation / Demo (10%),Weighted Total,Justification
CodeJam,https://vibe.devpost.com/submissions/922926-codejam,8,7,8,8,7.8,"Gamified multiplayer coding esports with Daytona-powered live Linux sandboxes and async Ghost Mode. Full-stack with real-time features, strong execution."
Serenity,https://vibe.devpost.com/submissions/922371-serenity,8,8,7,8,7.7,"Privacy-first mental health platform with zero-login ephemeral sessions and culturally-adaptive AI. MERN+Gemini, well-architected."
AnchorMesh,https://vibe.devpost.com/submissions/920076-anchormesh,8,9,9,8,8.5,"Bluetooth mesh SOS network that works without internet. Innovative P2P BLE communication for disaster zones. Life-saving potential."
MissionMatch,https://vibe.devpost.com/submissions/922128-missionmatch,8,8,8,7,7.9,"Multi-agent system for non-profits: web scraping, voice AI phone calls to organizations, aggregated dashboard. Creative real-world automation."
NeuralStride,https://vibe.devpost.com/submissions/919808-neuralstride,8,7,8,8,7.8,"AI posture monitoring with Chrome extension plant that grows/wilts. MediaPipe + 3D spine heatmap. Creative gamification approach."
Memoria Clew,https://vibe.devpost.com/submissions/921761-memoria-clew,7,7,7,7,7.0,"Knowledge capture system with proactive context-aware recall. LLM summaries with Firestore persistence. Solid but not highly novel."
ADEX - Adaptive Data Extraction System,https://vibe.devpost.com/submissions/919867-adex-adaptive-data-extraction-system,8,7,9,8,8.1,"Novel temporal RAG approach applying video frame analysis to OCR. Solves real packaging readability problems where static OCR fails."
AuditEase,https://vibe.devpost.com/submissions/924190-auditease,7,8,7,8,7.3,"AI legal compliance SaaS with contract chat, risk scoring, and HIPAA/GDPR analysis. Democratizes legal auditing for SMBs."
DebateMaster-AI,https://vibe.devpost.com/submissions/922393-debatemaster-ai,8,7,8,7,7.7,"Voice-based AI debate coaching with Gemini Live API, WebGL visualization, persona discovery, and 10-metric performance analytics."
Me7hod AI,https://vibe.devpost.com/submissions/920618-me7hod-ai,8,8,8,7,7.9,"Reasoning-required coding assessment platform. Evaluates voice explanations alongside code execution for fairer hiring decisions."
Protogen,https://vibe.devpost.com/submissions/923445-protogen,5,5,5,6,5.1,"Basic LLM wrapper for RCSB Protein Databank queries and PyMOL code generation. Simple implementation with limited technical depth."
AceUp-interview,https://vibe.devpost.com/submissions/920940-aceup-interview,7,7,7,5,6.8,"Automated system design interview platform with real-time AI interaction and canvas sync. Brief submission with limited documentation."
PlantBuddy,https://vibe.devpost.com/submissions/922934-plantbuddy,9,8,9,8,8.7,"IoT device that reads real plant electrical signals and transforms them into emotional conversations and music. Hardware+AI+streaming. Highly innovative."
CareForAll,https://vibe.devpost.com/submissions/923969-careforall,7,8,6,8,7.0,"AI health+mental wellness with doctor verification workflow, pattern alerts, and medicine tracker. Well-presented but concept is common."
RepoRadio,https://vibe.devpost.com/submissions/922713-reporadio,8,7,9,7,8.0,"Transforms GitHub repos into AI-generated podcasts with distinct host personalities. Daytona sandboxes for secure code analysis. Very creative concept."
LENS,https://vibe.devpost.com/submissions/922765-lens,8,7,8,6,7.6,"Chrome extension for design intelligence: CSS-to-Tailwind, accessibility checks, AI that executes live page modifications. No video hurts score."
KrishiBotAI,https://vibe.devpost.com/submissions/922756-krishibotai,8,9,8,7,8.1,"Comprehensive agricultural AI ecosystem with gamified farm simulator driven by real weather data, disease detection, and voice chatbot for farmers."
CivicGuard AI,https://vibe.devpost.com/submissions/923142-civicguard-ai,7,7,6,8,6.8,"Civic hazard reporting platform with heatmaps and token tracking. Well-presented 'Waze for Infrastructure' but similar solutions exist."
CVerify,https://vibe.devpost.com/submissions/919732-cverify,8,8,9,8,8.3,"Decentralized credential verification using DNS-based cryptographic signing with .cv domain integration. Highly novel trustless protocol."
CHAPAL,https://vibe.devpost.com/submissions/919832-chapal,8,8,8,8,8.0,"Dual-layer AI safety system with deterministic guards and human-in-the-loop oversight. Transparent reasoning and PII detection for production chatbots."
Ustoz Yordamchisi,https://vibe.devpost.com/submissions/921174-ustoz-yordamchisi,6,7,5,5,5.8,"AI workspace for educators with lesson planning and resource generation. Standard AI integration with limited innovation or documentation."
TiltStudio3.1,https://vibe.devpost.com/submissions/921426-tiltstudio3-1,9,7,9,8,8.5,"Browser-based cinematic 3D video production tool. No-build architecture loading Three.js via ES Modules. Professional-grade results in seconds."
AI Desktop Companion (Glitch),https://vibe.devpost.com/submissions/919429-ai-desktop-companion-glitch,8,7,9,6,7.9,"Multimodal desktop agent powered by Gemini 2.0 that sees your screen and automates OS tasks. Living desktop pet concept. Missing video demo."
REPRIGHT,https://vibe.devpost.com/submissions/925262-repright,7,7,6,7,6.7,"AI exercise posture correction using MediaPipe body tracking with real-time feedback and rep counting. Well-motivated but similar tools exist."
VisionAssist,https://vibe.devpost.com/submissions/920394-visionassist,7,9,6,7,7.1,"AI visual assistance app for blind users with 5 modes, voice control, and PWA support. High impact but similar to existing solutions like Be My Eyes."
SignAI,https://vibe.devpost.com/submissions/919455-signai-accessible-virtual-education-for-deaf-learners,7,9,7,7,7.4,"Sign language recognition for deaf education with personal motivation from developer's deaf brother. Strong community engagement (26 likes)."
Conclave,https://vibe.devpost.com/submissions/920746-conclave,8,7,9,7,8.0,"Multi-agent decision engine with probabilistic aggregation, visible disagreement, belief tracking, and evidence ledger. Makes AI uncertainty transparent."
Sparsh Mukthi,https://vibe.devpost.com/submissions/919145-sparsh-mukthi,6,7,6,7,6.3,"Touchless system control via voice and hand gestures. Standard OpenCV/MediaPipe implementation with limited novelty."
Medgemma X AI-4-Alzheimer's,https://vibe.devpost.com/submissions/924007-medgemma-x-ai-4-alzheimer-s,9,9,8,8,8.6,"End-to-end MRI analysis platform with classification, segmentation, fine-tuned MedGemma, and RAG-grounded clinical reasoning for Alzheimer's."
EasyContent,https://vibe.devpost.com/submissions/919184-easycontent,7,7,6,7,6.7,"Automated viral content creation pipeline from research to AI editing. Practical but content automation tools already exist."
crop ai,https://vibe.devpost.com/submissions/922945-crop-ai,3,6,3,2,3.5,"Minimal submission with only a tagline and no project description, documentation, or technical details despite having 18 likes."
InfraStreet,https://vibe.devpost.com/submissions/919370-infrastreet,7,9,8,7,7.7,"AI agents to bring street vendors online via voice and photos. Zero-tech onboarding for millions of invisible vendors. Strong real-world impact."
AI Eye Detection,https://vibe.devpost.com/submissions/922749-ai-eye-detection-dual-model-classifier,7,8,6,7,6.9,"Dual deep learning model for eye disease screening. Well-motivated by Colombian healthcare gaps but eye detection AI exists."
ELYRA,https://vibe.devpost.com/submissions/922161-elyra,8,9,8,8,8.2,"AI+haptics accessibility platform with Braille device, deaf support, and dyslexia tools. Hardware component with strong personal story."
Digital Twin,https://vibe.devpost.com/submissions/921977-digital-twin,8,6,7,7,7.2,"AI founder clone with GitHub, Calendar, and company verification integration. MCP-based tool architecture with cyberpunk aesthetic."
OmniCorp,https://vibe.devpost.com/submissions/922952-omnicorp,7,4,8,7,6.7,"Webcam-controlled slap game against corporate AI characters. Creative satire using MediaPipe, ElevenLabs, and Gemini. Fun but limited impact."
VRNV,https://vibe.devpost.com/submissions/921270-vrnv,7,9,8,7,7.7,"AI urban energy nervous system for cities. Forecasting, simulation, and citizen micro-prosumer orchestration. Ambitious vision."
EIDOS-alpha,https://vibe.devpost.com/submissions/919843-eidos-alpha,9,8,8,8,8.4,"Comprehensive lecture-to-study-kit converter with live capture, AI courses, voice tutor, Three.js visuals, and certificates. Feature-rich and polished."
CrisisNerve,https://vibe.devpost.com/submissions/919738-crisisnerve,7,8,7,6,7.1,"Multi-agent AI disaster response with risk analysis, resource deployment, and transparent reasoning. Solid concept, simpler execution."
Studi.io,https://vibe.devpost.com/submissions/920608-studi-io,7,8,7,8,7.3,"Ethical AI study companion born from personal academic struggle. Transforms intimidating PDFs into interactive tutoring. Compelling story."
LevelUp,https://vibe.devpost.com/submissions/921727-levelup,6,7,7,6,6.5,"Gamified career planner turning resumes into Duolingo-style career paths. Backend-focused with frontend still in progress."
DataCrypt,https://vibe.devpost.com/submissions/924210-datacrypt,8,8,9,8,8.3,"DeSci marketplace minting failed experiments as IP-NFTs on Polygon. Highly creative approach to scientific publication bias problem."
CodeShield,https://vibe.devpost.com/submissions/922677-codeshield,9,7,8,8,8.2,"Token-efficient AI code verification with AST parsing, style enforcement, and context persistence. Practical developer tool addressing real pain points."
ShortifyAI,https://vibe.devpost.com/submissions/923180-shortifyai,7,7,5,7,6.4,"Long-form video to viral shorts converter. Glassmorphism UI with Gemini AI. Similar tools (Opus Clip) already exist in market."
Synapse,https://vibe.devpost.com/submissions/919754-synapse-ai-powered-cognitive-retraining-platform,9,9,9,8,8.9,"EEG-enabled cognitive retraining for children with ADHD/autism. Multi-modal emotion recognition, adaptive AI, personalized rewards. Highly innovative."
Butler AI,https://vibe.devpost.com/submissions/920728-butler-ai-personal-assistant,8,6,6,6,6.8,"Personal AI assistant with RAG memory and 25+ tool integrations via Serverpod+Flutter. Well-built but crowded AI assistant market."
DMS 4096,https://vibe.devpost.com/submissions/919548-dms-4096,8,6,7,7,7.2,"4096-bit multi-stage symmetric encryption system. Technically deep cryptography project with detailed performance analysis."
MENTORA,https://vibe.devpost.com/submissions/922647-mentora,7,7,6,6,6.6,"AI career guidance with gamified XP system, roadmaps, and resume analysis. Flutter+Supabase. Decent but not highly differentiated."
Fin chuchube,https://vibe.devpost.com/submissions/924060-fin-chuchube,7,7,7,7,7.0,"Women-first finance assistant with voice expense logging and shared savings goals. Thoughtful focus on underserved demographic."
Lumina,https://vibe.devpost.com/submissions/923079-lumina,8,7,8,6,7.6,"AI career ecosystem with semantic job search, generative React-based interactive courses, and hybrid RAG. Technically ambitious, missing video."
Misconception Mentor,https://vibe.devpost.com/submissions/922197-misconception-mentor,7,8,8,7,7.5,"Math education app diagnosing WHY students get wrong answers. Built by a 13-year-old. Addresses root misconceptions with targeted follow-ups."
GeoGuardian,https://vibe.devpost.com/submissions/922248-geoguardian,8,9,8,8,8.2,"Democratizing satellite environmental monitoring ($50K/mo tools made free). Sentinel-2, AI change detection, automated alerts. Strong impact."
EcoMed,https://vibe.devpost.com/submissions/922834-ecomed,7,8,6,6,6.8,"AI healthcare assistant explaining medical reports in simple language. OCR+FastAPI+Next.js. Popular (15 likes) but similar tools exist."
CivicNerve,https://vibe.devpost.com/submissions/922181-civicnerve,9,9,9,8,8.9,"Autonomous municipal OS with IBM watsonx, bylaw parsing, budget verification, and zero-touch dispatch. Agentic city concept is visionary."
Nexus Dendrite,https://vibe.devpost.com/submissions/921226-nexus-dendrite-ai-medical-intelligence,7,7,6,7,6.7,"AI medical intelligence platform with multi-modal analysis. Academic-style presentation with LaTeX but somewhat generic medical dashboard."
GLIK,https://vibe.devpost.com/submissions/919203-glik-ai-glycemic-intelligence-companion,7,8,7,6,7.1,"AI glycemic intelligence companion for proactive diabetes management using lifestyle signals and food scanning. Solid concept, missing video."
LetsCook!!,https://vibe.devpost.com/submissions/923776-letscook,7,6,6,7,6.5,"AI cooking companion with recipe wizard, ingredient scanning, and smart grocery lists. Practical but many similar cooking AI apps exist."
PointZero,https://vibe.devpost.com/submissions/919091-pointzero,7,6,7,7,6.8,"Serverless OSINT spatial mapping tool using Vanilla JS and Overpass API. 7 export formats, all client-side. Niche but well-executed."
Fries in the Bag,https://vibe.devpost.com/submissions/923451-fries-in-the-bag,8,5,9,7,7.6,"Audio steganography encoding data via ultrasonic amplitude modulation with FFT decoding. Technically creative signal processing project."
Stellar Insight Labs,https://vibe.devpost.com/submissions/923778-stellar-insight-labs,8,6,8,7,7.5,"AI exoplanet detection pipeline with multiple ML models and explainability layer. Scientifically interesting with NASA data integration."
Health Bridge,https://vibe.devpost.com/submissions/920006-health-bridge,8,10,8,8,8.4,"2G-optimized telemedicine for rural India. Voice IVR in Hindi/Marathi, zero digital literacy required. Serves 45M+ people. Massive real-world impact."
NutriCare Agents,https://vibe.devpost.com/submissions/921856-nutricare-agents,8,7,7,7,7.4,"AI nutrition with Graph Neural Networks for Vietnamese meal recommendations. Multi-agent system with cultural sensitivity focus."
Surgent 2.0,https://vibe.devpost.com/submissions/922730-surgent-2-0,7,4,6,7,6.1,"3D meta-frontend redesign for Surgent platform. Visually impressive Three.js+Framer Motion but limited practical scope beyond aesthetics."
Setu,https://vibe.devpost.com/submissions/922180-setu,5,7,5,5,5.4,"Civic issue reporting with basic HTML/CSS/JS+Firebase+Flask stack. Straightforward implementation with limited technical depth."
